PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-09-03,16:42:51.17,1,1,"Jasa, Carson",814215,Right,NEB,"Grego, Drew",10290580,Right,NEB,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.71134,-3.154249,-2.42358,2287.992578,224.13254,1:30,6.61407,1.33813,5.95482,-20.66682,13.07776,11.70536,1.96091,0.06453,83.67027,-7.006898,-0.320576,0.418093,,,,,,,,,,,,-6.63878,7.84504,-1.15192,50,6.35119,5.07802,-131.61226,-7.92931,-11.72982,26.01614,-18.31293,NEB,NEB,UNebraska,TeamExclusive,Team,20250903-UNebraska-Private-2,f1517400-890e-11f0-a84e-8d3a62d886e2,90.15314,,,7.04107,,,,,,,ae614e11-b1b9-4508-b311-468f30c2a3a8,2025-09-03,21:42:51.17,2025-09-03T16:42:51.1746560-05:00,2025-09-03T21:42:51.1746560Z,,v3,4865,4865,,"Fikes, Trey ",10277361,Right,NEB,c65ae7d2-3b7b-4910-b8f1-63f4ef5fbe9c,54.54751,-132.50813,13.00807,6.61338,-7.2987,-9.15647,-1.33373,5.48194,-5.86491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-09-03,16:43:09.40,1,2,"Jasa, Carson",814215,Right,NEB,"Grego, Drew",10290580,Right,NEB,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.31812,-2.995186,-1.721544,2343.856545,223.581187,1:30,6.48978,1.57964,5.99352,-20.23785,13.18139,11.533,2.0237,0.94479,83.7199,-6.785836,0.353201,0.416073,,,,,,,,,,,,-6.42902,7.93544,-1.45033,50,6.24221,3.49761,-132.50145,-7.58521,-11.4331,28.22736,-18.06204,NEB,NEB,UNebraska,TeamExclusive,Team,20250903-UNebraska-Private-2,fc253650-890e-11f0-a84e-8d3a62d886e2,90.59088,,,7.59822,,,,,,,ae614e11-b1b9-4508-b311-468f30c2a3a8,2025-09-03,21:43:09.40,2025-09-03T16:43:09.4012416-05:00,2025-09-03T21:43:09.4012416Z,,v3,4865,4865,,"Fikes, Trey ",10277361,Right,NEB,749fb155-2c31-4ef5-a172-ef024081765d,54.50855,-133.45847,14.11368,6.489,-6.97283,-9.03102,-1.57549,3.88524,-5.71655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-09-03,16:43:37.23,1,3,"Jasa, Carson",814215,Right,NEB,"Grego, Drew",10290580,Right,NEB,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.1639,-0.694963,-2.11631,2050.882765,201.089024,12:45,6.68842,1.25494,6.02898,-15.83828,18.06052,6.58678,4.72447,-0.15704,83.00256,-3.708771,-0.932297,0.419048,,,,,,,,,,,,-3.90937,9.76638,-1.09283,50,6.62521,4.56522,-131.03899,-2.04078,-6.86104,25.26469,-15.03382,NEB,NEB,UNebraska,TeamExclusive,Team,20250903-UNebraska-Private-2,0cbd9070-890f-11f0-a84e-8d3a62d886e2,89.94785,,,7.16134,,,,,,,ae614e11-b1b9-4508-b311-468f30c2a3a8,2025-09-03,21:43:37.23,2025-09-03T16:43:37.2356608-05:00,2025-09-03T21:43:37.2356608Z,,v3,4865,4865,,"Fikes, Trey ",10277361,Right,NEB,d187803a-05e4-4f58-b545-7579505c77f0,54.47216,-131.89841,12.63234,6.68594,-1.52938,-7.51691,-1.2521,4.79861,-3.43052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-09-03,16:44:00.05,1,4,"Jasa, Carson",814215,Right,NEB,"Grego, Drew",10290580,Right,NEB,Undefined,1,Top,0,1,2,Fastball,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,90.12753,-2.418009,-3.665554,2204.205102,223.78553,1:30,5.81141,2.66759,6.27903,-20.58261,13.03394,11.57875,1.86144,0.24906,83.45131,-6.276527,-1.577031,0.4173,,,,,,,,,,,,-6.90394,7.66556,-2.40198,50,5.62219,7.9189,-130.82183,-6.16037,-12.11832,24.27515,-18.71885,NEB,NEB,UNebraska,TeamExclusive,Team,20250903-UNebraska-Private-2,1a586200-890f-11f0-a84e-8d3a62d886e2,90.32464,,,6.67621,,,,,,,ae614e11-b1b9-4508-b311-468f30c2a3a8,2025-09-03,21:44:00.05,2025-09-03T16:44:00.0550912-05:00,2025-09-03T21:44:00.0550912Z,,v3,4865,4865,,"Fikes, Trey ",10277361,Right,NEB,5c04cb62-bc61-427d-a4a5-f409e8168cbf,54.22384,-131.60327,12.13758,5.8108,-5.55779,-9.35943,-2.66317,8.309,-6.05916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-09-03,16:44:30.61,2,1,"Jasa, Carson",814215,Right,NEB,"Nunez, Devin",830147,Left,NEB,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.17625,-0.673348,-2.9268,2279.443853,236.515954,2:00,5.87685,2.99678,6.07083,-22.64812,10.57772,14.48635,3.36554,1.49314,83.75723,-4.912737,-0.321167,0.414867,,,,,,,,,,,,-8.20831,5.9376,-2.77734,50,5.81246,6.15763,-132.43101,-2.29984,-14.66342,26.71386,-21.56702,NEB,NEB,UNebraska,TeamExclusive,Team,20250903-UNebraska-Private-2,2c908970-890f-11f0-a84e-8d3a62d886e2,90.85418,,,7.41902,,,,,,,ae614e11-b1b9-4508-b311-468f30c2a3a8,2025-09-03,21:44:30.61,2025-09-03T16:44:30.6196480-05:00,2025-09-03T21:44:30.6196480Z,,v3,4865,4865,,"Fikes, Trey ",10277361,Right,NEB,f6df94ff-fc5a-4f98-b239-2b5ea13f95b7,54.43124,-133.32187,13.35693,5.87717,-1.58061,-10.78351,-2.99084,6.64664,-7.33171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-09-03,16:44:52.71,2,2,"Jasa, Carson",814215,Right,NEB,"Nunez, Devin",830147,Left,NEB,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.6824,-2.078614,-2.191317,2233.754692,207.767157,1:00,6.60155,1.52783,6.08943,-14.18414,18.46253,9.23217,3.4944,0.26905,84.71588,-4.780748,-0.52965,0.411236,,,,,,,,,,,,-5.29138,10.32379,-1.36348,50,6.43327,4.71103,-133.23113,-5.23594,-9.62873,25.30079,-13.38782,NEB,NEB,UNebraska,TeamExclusive,Team,20250903-UNebraska-Private-2,39bb5b20-890f-11f0-a84e-8d3a62d886e2,91.6565,,,6.96651,,,,,,,ae614e11-b1b9-4508-b311-468f30c2a3a8,2025-09-03,21:44:52.71,2025-09-03T16:44:52.7170048-05:00,2025-09-03T21:44:52.7170048Z,,v3,4865,4865,,"Fikes, Trey ",10277361,Right,NEB,25ea1841-047c-4c46-a274-c4ae4a31d827,54.41289,-134.06653,12.65039,6.59885,-4.79389,-6.69391,-1.52428,5.02895,-4.81437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-09-03,16:45:15.08,2,3,"Jasa, Carson",814215,Right,NEB,"Nunez, Devin",830147,Left,NEB,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.34646,-2.733001,-2.147365,2244.602801,216.653115,1:15,6.27398,1.83414,5.96778,-16.79989,16.24166,11.38981,2.33624,0.79131,84.57714,-5.890443,-0.101098,0.413715,,,,,,,,,,,,-6.36355,9.29867,-1.67014,50,6.0475,4.49277,-132.67859,-6.85489,-11.49474,24.8367,-15.37748,NEB,NEB,UNebraska,TeamExclusive,Team,20250903-UNebraska-Private-2,47133040-890f-11f0-a84e-8d3a62d886e2,91.10717,,,6.76932,,,,,,,ae614e11-b1b9-4508-b311-468f30c2a3a8,2025-09-03,21:45:15.08,2025-09-03T16:45:15.0866944-05:00,2025-09-03T21:45:15.0866944Z,,v3,4865,4865,,"Fikes, Trey ",10277361,Right,NEB,0e65740a-0844-44d9-9a7a-0269d0a85173,54.53483,-133.52479,12.41835,6.27213,-6.33097,-7.68874,-1.82988,4.8844,-5.74737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-09-03,16:45:53.29,2,4,"Jasa, Carson",814215,Right,NEB,"Nunez, Devin",830147,Left,NEB,Undefined,1,Top,1,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.64377,-2.136163,-1.635113,2128.805085,240.458737,2:00,6.15876,2.21641,6.08698,-25.72431,7.80182,12.03607,2.03713,1.70633,83.72105,-6.907429,0.53505,0.416738,,,,,,,,,,,,-6.62811,4.88736,-2.09639,50,5.98006,3.26119,-131.72183,-5.77897,-11.73207,26.0246,-23.52324,NEB,NEB,UNebraska,TeamExclusive,Team,20250903-UNebraska-Private-2,5dd96b50-890f-11f0-a84e-8d3a62d886e2,90.44637,,,6.92273,,,,,,,ae614e11-b1b9-4508-b311-468f30c2a3a8,2025-09-03,21:45:53.29,2025-09-03T16:45:53.2966912-05:00,2025-09-03T21:45:53.2966912Z,,v3,4865,4865,,"Fikes, Trey ",10277361,Right,NEB,67c1a576-abc5-4a16-a058-6527728688c6,54.41556,-132.59135,13.0123,6.16001,-4.99302,-11.76162,-2.2119,3.65318,-5.86603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-09-03,16:46:17.77,2,5,"Jasa, Carson",814215,Right,NEB,"Nunez, Devin",830147,Left,NEB,Undefined,1,Top,1,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.48875,-1.345234,-1.690495,2356.132676,222.871078,1:30,6.79283,1.29076,5.88011,-17.15914,15.38812,13.36202,4.11277,0.83378,84.81737,-4.586012,0.706714,0.410609,,,,,,,,,,,,-7.2467,8.52595,-1.16166,50,6.67407,3.37105,-134.34607,-3.69556,-13.30162,27.92676,-16.52431,NEB,NEB,UNebraska,TeamExclusive,Team,20250903-UNebraska-Private-2,6c6ef090-890f-11f0-a84e-8d3a62d886e2,91.79639,,,7.67137,,,,,,,ae614e11-b1b9-4508-b311-468f30c2a3a8,2025-09-03,21:46:17.77,2025-09-03T16:46:17.7785856-05:00,2025-09-03T21:46:17.7785856Z,,v3,4865,4865,,"Fikes, Trey ",10277361,Right,NEB,dfe98951-176a-4762-b0a3-280f60930d16,54.62087,-135.30321,13.96338,6.79102,-3.12922,-8.26216,-1.285,3.82694,-6.65081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-09-03,16:46:42.60,2,6,"Jasa, Carson",814215,Right,NEB,"Nunez, Devin",830147,Left,NEB,Undefined,1,Top,1,3,2,Fastball,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,89.59569,-2.661759,-3.483173,2290.092158,229.171739,1:45,5.9297,2.24809,6.27178,-20.53879,13.61186,14.58115,1.75795,0.2481,82.66771,-6.52098,-0.851776,0.420601,,,,,,,,,,,,-8.43721,8.06288,-1.99688,50,5.72212,7.32754,-130.00653,-6.66963,-14.5683,24.98844,-18.2521,NEB,NEB,UNebraska,TeamExclusive,Team,20250903-UNebraska-Private-2,7b3b6450-890f-11f0-a84e-8d3a62d886e2,89.61558,,,6.92798,,,,,,,ae614e11-b1b9-4508-b311-468f30c2a3a8,2025-09-03,21:46:42.60,2025-09-03T16:46:42.6093056-05:00,2025-09-03T21:46:42.6093056Z,,v3,4865,4865,,"Fikes, Trey ",10277361,Right,NEB,018113ad-2f75-4315-a537-33ec662b5d62,54.23064,-130.81717,12.49422,5.92888,-6.07752,-9.12605,-2.24226,7.80014,-7.28415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
